accuracy,loss,val_accuracy,val_loss
0.3266666531562805,1.353729486465454,0.503333330154419,1.1742409467697144
0.4297619163990021,1.2185375690460205,0.5433333516120911,1.0048452615737915
0.482619047164917,1.1053037643432617,0.5633333325386047,0.9251815676689148
0.49142858386039734,1.0657024383544922,0.5944444537162781,0.895379900932312
0.5209524035453796,1.0138802528381348,0.602222204208374,0.86490797996521
0.5161904692649841,1.0081430673599243,0.6033333539962769,0.8553301095962524
0.5311904549598694,0.9744645953178406,0.6255555748939514,0.8306486010551453
0.5376190543174744,0.963860273361206,0.6044444441795349,0.8328860402107239
0.5383333563804626,0.9576213955879211,0.6466666460037231,0.8148726224899292
0.5564285516738892,0.9253146648406982,0.652222216129303,0.8004859089851379
0.550000011920929,0.9211276173591614,0.6433333158493042,0.8038814067840576
0.5719047784805298,0.9038158059120178,0.6388888955116272,0.800787091255188
0.5561904907226562,0.9035029411315918,0.6355555653572083,0.7991317510604858
0.5747619271278381,0.8935393691062927,0.6655555367469788,0.7683262228965759
0.5754761695861816,0.8871134519577026,0.6744444370269775,0.7730900645256042
